Laptop_name,Year,CPU,GPU,Memory,Storage,Display,Weight(kg),Price
Acer Aspire E1-772G 54208G1TMnsk,2014,Intel Core i5-4200M,NVIDIA GeForce 820M,"8 GB  ,, DDR3, single-channel, two slots (one open),1 USB 2.0, 2 USB 3.0 / 3.1 Gen1, 1 VGA, 1 HDMI, 1 Kensington Lock, Audio Connections: Headphone, microphone, Card Reader: SD, MMC, Memory Stick, Memory Stick Pro, xD","WDC Scorpio Blue WD10JPVX-22JC3T0, 1024 GB  ","17.30 inch 16:9, 1920 x 1080 pixel, Chi Mei N173HGE-E11, TN LED, glossy: no","3.2 kg ( = 112.88 oz / 7.05 pounds), Power Supply: 344 g ( = 12.13 oz / 0.76 pounds)",599 Euro
Acer Aspire V15 Nitro VN7-571G-574H,2015,Intel Core i5-5200U,NVIDIA GeForce GTX 850M,"8 GB  ,, DDR3, dual-channel, two memory banks (both filled)","Seagate ST500LM000 Solid State Hybrid Drive, 500 GB  ","15.60 inch 16:9, 1920 x 1080 pixel, LG Philips LP156WF6-SPB1, IPS, glossy: no","2.4 kg ( = 84.66 oz / 5.29 pounds), Power Supply: 518 g ( = 18.27 oz / 1.14 pounds)",729 Euro
Acer Aspire E5-575G-549D,2016,Intel Core i5-7200U,NVIDIA GeForce GTX 950M,"8 GB  ,, 1x 8 GB DDR4-2133, 1 of 2 slots filled",", 1000 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, Chi Mei CMN15C4, TN, LED backlight, glossy: no","2.4 kg ( = 84.66 oz / 5.29 pounds), Power Supply: 460 g ( = 16.23 oz / 1.01 pounds)",630 Euro
Acer Aspire VN7-592G-77BU,2016,Intel Core i7-6700HQ,NVIDIA GeForce GTX 960M,"24 GB  ,, DDR4 2133 MHz", 2 TB 5400 RPM HDD + 256 GB SSD,"15.60 inch 16:9, 3840 x 2160 pixel 282 PPI, IPS, glossy: no",2.3 kg ( = 81.13 oz / 5.07 pounds) ( = 0 oz / 0 pounds),
Asus VivoBook 14 X403FA,2019,Intel Core i5-8265U,Intel UHD Graphics 620,"16 GB  ,, DDR4-2400, dual-channel, memory soldered in, no storage slots","Intel SSD 660p SSDPEKNW512G8, 512 GB  ","14.00 inch 16:9, 1920 x 1080 pixel 162 PPI, Chi Mei N140HCA-EAC, IPS, glossy: no","1.32 kg ( = 46.56 oz / 2.91 pounds), Power Supply: 154 g ( = 5.43 oz / 0.34 pounds)",699 Euro
Acer Aspire 3 A315-41-R869,2019,AMD Ryzen 7 3700U,AMD Radeon RX Vega 10,8 GB  , 256 GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, glossy: no",2.4 kg ( = 84.66 oz / 5.29 pounds) ( = 0 oz / 0 pounds),
Tuxedo Book BU1307,2019,Intel Core i7-8550U,Intel UHD Graphics 620,"16 MB  ,, DDR4 SDRAM, single channel",", 250 GB  ","13.30 inch 16:9, 1920 x 1080 pixel 165 PPI, AUO272D, IPS, glossy: no","1.4 kg ( = 49.38 oz / 3.09 pounds), Power Supply: 275 g ( = 9.7 oz / 0.61 pounds)",980 Euro
Tuxedo InfinityBook Pro 14,2019,Intel Core i7-8565U,Intel UHD Graphics 620,"32 GB  ,, DDR4-2400, Dual-Channel, two slots (both in use)",", 500 GB  ","14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, ChiMei N140HCE-EN1, IPS, glossy: no","1.4 kg ( = 49.38 oz / 3.09 pounds), Power Supply: 269 g ( = 9.49 oz / 0.59 pounds)",1354 Euro
Acer TravelMate P2 TMP278-M-P5JU,2017,Intel Pentium 4405U,Intel HD Graphics 510,4 GB  , 500 GB HDD,"17.00 inch 16:9, 1600 x 900 pixel 108 PPI, glossy: no",3 kg ( = 105.82 oz / 6.61 pounds) ( = 0 oz / 0 pounds),
Acer Extensa 2540-5325,2017,Intel Core i5-7200U,Intel HD Graphics 620,4 GB  , 1 TB HDD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, glossy: no",2.4 kg ( = 84.66 oz / 5.29 pounds) ( = 0 oz / 0 pounds),
