Laptop_name,Year,CPU,GPU,Memory,Storage,Display,Weight(kg),Price
Apple MacBook Pro 13 inch 2009-06,2009,Intel Core 2 Duo P8400,NVIDIA GeForce 9400M (G) / ION (LE),"4 GB  ,, DDR3",,"13.30 inch 16:10, 1280 x 800 pixel, glossy: yes",2.1 kg ( = 74.08 oz / 4.63 pounds) ( = 0 oz / 0 pounds),1000 Euro
Apple MacBook White 2009-05,2009,Intel Core 2 Duo P7450,NVIDIA GeForce 9400M (G) / ION (LE),"2048 MB  ,, DDR2 800MHz",", 160 GB  ","13.30 inch 16:10, 1280 x 800 pixel, APP9C5F, glossy: yes","2.22 kg ( = 78.31 oz / 4.89 pounds), Power Supply: 238 g ( = 8.4 oz / 0.52 pounds)",949 Euro
Apple MacBook Air 13 inch 2009-06 MC234*/A,2009,Intel Core 2 Duo SL9600,NVIDIA GeForce 9400M (G) / ION (LE),"2048 MB  ,, DDR3","Apple SSD SM128 (Samsung), Samsung 1.8&amp;amp;amp;amp;quot;","13.30 inch 16:10, 1280 x 800 pixel, LED Backlight, glossy: yes","1.346 kg ( = 47.48 oz / 2.97 pounds), Power Supply: 184 g ( = 6.49 oz / 0.41 pounds)",1699 Euro
Apple MacBook Air 13 inch 2009-06 MC234*/A,2009,Intel Core 2 Duo SL9600,NVIDIA GeForce 9400M (G) / ION (LE),"2048 MB  ,, DDR3","Apple SSD SM128 (Samsung), Samsung 1.8&amp;amp;amp;amp;quot;","13.30 inch 16:10, 1280 x 800 pixel, LED Backlight, glossy: yes","1.346 kg ( = 47.48 oz / 2.97 pounds), Power Supply: 184 g ( = 6.49 oz / 0.41 pounds)",1699 Euro
Apple MacBook Pro 15 inch 2009-06,2009,Intel Core 2 Duo T9600,NVIDIA GeForce 9600M GT,"4 GB  ,, DDR3","Hitachi Travelstar 5K500.B HTS545050B9SA02, 500 GB  ","15.40 inch 16:10, 1440 x 900 pixel, Panel: 00009CA3, glossy: yes","2.486 kg ( = 87.69 oz / 5.48 pounds), Power Supply: 298 g ( = 10.51 oz / 0.66 pounds)",1700 Euro
Apple MacBook Pro 13 inch 2009-06,2009,Intel Core 2 Duo P8700,NVIDIA GeForce 9400M (G) / ION (LE),"4 GB  ,, DDR3",", 250 GB  ","13.30 inch 16:10, 1280 x 800 pixel, glossy: yes","2.031 kg ( = 71.64 oz / 4.48 pounds), Power Supply: 233 g ( = 8.22 oz / 0.51 pounds)",1000 Euro
Apple MacBook White 2009-05,2009,Intel Core 2 Duo P7450,NVIDIA GeForce 9400M (G) / ION (LE),"2048 MB  ,, DDR2 800MHz",", 160 GB  ","13.30 inch 16:10, 1280 x 800 pixel, APP9C5F, glossy: yes","2.22 kg ( = 78.31 oz / 4.89 pounds), Power Supply: 238 g ( = 8.4 oz / 0.52 pounds)",949 Euro
Apple Macbook Pro 17 inch 2009-03,2009,Intel Core 2 Duo T9550,NVIDIA GeForce 9600M GT,"4 GB  ,, PC3-8500F (533 MHz) DDR3 7-7-7-20-27 Samsung",", 160 GB  ","17.00 inch 16:10, 1920 x 1200 pixel, glossy or optional non glossy, glossy: no","2.98 kg ( = 105.12 oz / 6.57 pounds), Power Supply: 297 g ( = 10.48 oz / 0.65 pounds)",2499 Euro
Apple MacBook Aluminium,2009,Intel Core 2 Duo P7350,NVIDIA GeForce 9400M (G) / ION (LE),"2048 MB  ,, DDR3 1066 MHz",", 160 GB  ","13.30 inch 16:10, 1280 x 800 pixel, glossy, glossy: yes","2.06 kg ( = 72.66 oz / 4.54 pounds), Power Supply: 260 g ( = 9.17 oz / 0.57 pounds)",1200 Euro
Apple Macbook Pro 17 inch 2009-03,2009,Intel Core 2 Duo T9550,NVIDIA GeForce 9600M GT,"4 GB  ,, PC3-8500F (533 MHz) DDR3 7-7-7-20-27 Samsung",", 320 GB  ","17.00 inch 16:10, 1920 x 1200 pixel, glossy or optional non glossy, glossy: yes","2.98 kg ( = 105.12 oz / 6.57 pounds), Power Supply: 297 g ( = 10.48 oz / 0.65 pounds)",2499 Euro
