Laptop_name,Year,CPU,GPU,Memory,Storage,Display,Weight(kg),Price
HP ProBook 4740s-C4Z55EA,2013,Intel Core i5-3210M,AMD Radeon HD 7650M,4 GB  ,,"17.30 inch 16:9, 1600 x 900 pixel, glossy: yes",3 kg ( = 105.82 oz / 6.61 pounds) ( = 0 oz / 0 pounds),700 Euro
HP EliteBook 8570p-B6Q03EA-ABD,2013,Intel Core i7-3520M,AMD Radeon HD 7570M,"4 GB  ,, 1x 4 GB DDR3 1600 MHz",", 500 GB  ","15.60 inch 16:9, 1600 x 900 pixel, LGDO258, TN LED, ca. 95% sRGB, glossy: no","2.91 kg ( = 102.65 oz / 6.42 pounds), Power Supply: 520 g ( = 18.34 oz / 1.15 pounds)",1500 Euro
HP Envy x2 11-g000eg,2013,Intel Atom Z2760,PowerVR SGX545,"2048 MB  ,, LPDDR2-800, on-board","64 GB SSD, 64 GB  ","11.60 inch 16:9, 1366 x 768 pixel, capacitive, multi-touch, LGD039E, IPS screen, LED backlight, glossy: yes","1.41 kg ( = 49.74 oz / 3.11 pounds), Power Supply: 100 g ( = 3.53 oz / 0.22 pounds)",900 Euro
HP ProBook 4545s C5D26ES,2013,AMD A4-4300M,AMD Radeon HD 7420G,"4 GB  ,, DDR3 SDRAM, 1 module,2 USB 2.0, 2 USB 3.0 / 3.1 Gen1, 1 HDMI, 1 Kensington Lock, Audio Connections: 3.5 mm headphone jack and microphone jack, Card Reader: SD-Card, MMC, Memory Stick, Memory Stick Pro, optional Fingerprint Reader",", 500 GB  ","15.60 inch 16:9, 1366 x 768 pixel, glossy: no","2.504 kg ( = 88.33 oz / 5.52 pounds), Power Supply: 404 g ( = 14.25 oz / 0.89 pounds)",522.41 Euro
HP EliteBook Folio 9470m H4P04EA,2013,Intel Core i5-3427U,Intel HD Graphics 4000,"4 GB  ,, Single Channel PC3-12800 800 MHz","Intel SSD 520 Series SSDSC2BW180A3L, 180 GB  ","14.00 inch 16:9, 1366 x 768 pixel, Unknown, TN LED, glossy: no","1.64 kg ( = 57.85 oz / 3.62 pounds), Power Supply: 368 g ( = 12.98 oz / 0.81 pounds)",1700 Euro
HP Envy dv7-7230sw,2013,Intel Core i7-3630QM,NVIDIA GeForce GT 630M,8 GB  ,,"17.30 inch 16:9, 1920 x 1080 pixel, glossy: yes",3.1 kg ( = 109.35 oz / 6.83 pounds) ( = 0 oz / 0 pounds),
HP Envy m6-1101sg ,2013,Intel Core i5-3210M,AMD Radeon HD 7670M,"8 GB  ,, (2 x 4 GB) ","WDC Scorpio Blue WD10JPVT-60A1YT0, 1000 GB  ","15.60 inch 16:9, 1366 x 768 pixel, LED, glossy: yes",2.4 kg ( = 84.66 oz / 5.29 pounds) ( = 0 oz / 0 pounds),759 Euro
HP dv7-7202eg,2013,Intel Core i7-3630QM,NVIDIA GeForce GT 630M,"12 GB  ,, DDR3,1 USB 2.0, 3 USB 3.0 / 3.1 Gen1, 1 VGA, 1 HDMI, 1 Kensington Lock, Audio Connections: Headphone output, microphone input, Card Reader: SD, MMC, Memory Stick, Memory Stick Pro, 1 SmartCard, 1 Fingerprint Reader",", 750 GB  ","17.30 inch 16:9, 1920 x 1080 pixel, no, LG LP173WF1-TLB5, Full-HD, LED backlight, glossy: no","3.3 kg ( = 116.4 oz / 7.28 pounds), Power Supply: 400 g ( = 14.11 oz / 0.88 pounds)",1199 Euro Euro
Lenovo IdeaPad Y510p,2013,Intel Core i7-4700MQ,NVIDIA GeForce GT 750M SLI,"8 GB  ,, SO-DIMM DDR3-RAM PC3-12800 (1600 MHz), 2 slots, max. 16 GB","Samsung SpinPoint M8 HN-M101MBB, 1000 GB  ","15.60 inch 16:9, 1920 x 1080 pixel, LG LP156WF1-TLB2 (LGD02D9), TN LED, 15.6-inch FullHD, glossy: no","2.894 kg ( = 102.08 oz / 6.38 pounds), Power Supply: 676 g ( = 23.85 oz / 1.49 pounds)",1100 Euro
Lenovo IdeaPad Y510p-59367273,2013,Intel Core i7-4700MQ,NVIDIA GeForce GT 750M,8 GB  ,,"15.60 inch 16:9, 1920 x 1080 pixel, glossy: no",2.7 kg ( = 95.24 oz / 5.95 pounds) ( = 0 oz / 0 pounds),1200 Euro
Lenovo ThinkPad X1 Carbon Touch N3NAQGE,2013,Intel Core i7-3667U,Intel HD Graphics 4000,"8 GB  ,, dual-channel","Intel SSD 521 Series SSDSCMMW240A3L SFF, 240 GB  ","14.00 inch 16:9, 1600 x 900 pixel, resistive multi-touch, LP140WD2 TLE2, TN LED, glossy: yes","1.516 kg ( = 53.48 oz / 3.34 pounds), Power Supply: 436 g ( = 15.38 oz / 0.96 pounds)",2050 Euro
Lenovo G505s-20255,2013,AMD A10-5750M,AMD Radeon HD 8650G + HD 8570M Dual Graphics,"16 GB  ,, 2x 8 GB DDR3-1600, 2 slots","Seagate ST1000LM014 Solid State Hybrid Drive, 1000 GB  ","15.60 inch 16:9, 1366 x 768 pixel, AUO B156XW04 V5, TN screen, LED backlight, glossy: yes","2.5 kg ( = 88.19 oz / 5.51 pounds), Power Supply: 252 g ( = 8.89 oz / 0.56 pounds)",
Lenovo IdeaPad U510-59358176,2013,Intel Core i3-3217U,Intel HD Graphics 4000,4 GB  ,,"15.60 inch 16:9, 1366 x 768 pixel",2.2 kg ( = 77.6 oz / 4.85 pounds) ( = 0 oz / 0 pounds),
Lenovo IdeaPad Flex 14-59395501,2013,Intel Core i5-4200U,Intel HD Graphics 4400,"8 GB  ,, PC3-12800 DDR3L SDRAM, 11-11-11-28","Samsung PM841 Series MZ7TD128HAFV-000L1, 128 GB  ","14.00 inch 16:9, 1366 x 768 pixel, 10-point multitouch , TN LED, Name: AUO B140XW01 V0, ID: AUO103C, glossy: yes","1.85 kg ( = 65.26 oz / 4.08 pounds), Power Supply: 290 g ( = 10.23 oz / 0.64 pounds)","$749 USD, ~699 Euro"
Lenovo ThinkPad Yoga,2013,Intel Core i5-4200U,Intel HD Graphics 4400,"4 GB  ,, PC3-12800 DDR3L SDRAM 1600 MHz","Samsung PM841 Series MZ7TD128HAFV-000L1, 128 GB  ","12.50 inch 16:9, 1920 x 1080 pixel, 10-finger multitouch, LEN40E4, IPS, LP125WF2-SPB1, glossy: no","1.584 kg ( = 55.87 oz / 3.49 pounds), Power Supply: 238 g ( = 8.4 oz / 0.52 pounds)",1200 Euro
