Laptop_name,Year,OS,CPU,CPU_Cores,CPU_Threads,CPU_Default_Clock,CPU_Boosted_Clock,CPU_Transistor_Size(nm),CPU_L3(MB),CPU_TDP,GPU,GPU_Memory(GB),GPU_Memory_Type,GPU_Bus_Width(bit),GPU clock,GPU memory clock,Memory,Storage,Display,Weight(kg),Price
Lenovo Ideapad S340-15IWL-81N800P0GE,2019,Windows,core i3-8145u,2,4,2.1,3.9,10,4.0,28 W,uhd graphics 620,,,,300 MHz,System Shared,"8 GB  ,, DDR4-2400","256 GB NVMe, 256 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, IPS, glossy: no",1.8,500 Euro
Lenovo Ideapad L340-15IWL-88IPL301158,2019,Windows,core i5-8265u,4,8,1.6,4.1,14,6.0,28 W,geforce mx230,2.0,GDDR5,64,1519 MHz,1502 MHz,"8 GB  ,, DDR4-2400","256 GB NVMe, 256 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, TN LED, glossy: no",2.1,650 Euro
Lenovo ThinkPad E490-20N8000RGE,2019,Windows,core i5-8265u,4,8,1.6,4.1,14,6.0,28 W,uhd graphics 620,,,,300 MHz,System Shared,"8 GB  ,, DDR4-2666, single channel, two storage slots (both occupied)","SK hynix BC501 HFM256GDHTNG, 213 GB free","14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, Lenovo NV140FHM-N49, IPS, glossy: no",1.8,730 Euro
Lenovo Legion Y545-15-81T20005US,2019,Windows,core i7-9750h,6,12,2.6,4.5,14,12.0,45 W,geforce gtx 1650 mobile,4.0,GDDR5,128,1395 MHz,2001 MHz,"16 GB  ,, DDR4-2666","512 GB UFS 2.1 Flash, 512 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, IPS, glossy: no",2.3,1000 Euro
Lenovo Legion Y540 15-IRH-81SY001KSB,2019,Windows,core i7-9750h,6,12,2.6,4.5,14,12.0,45 W,geforce gtx 1650 mobile,4.0,GDDR5,128,1395 MHz,2001 MHz,"8 GB  ,, DDR4-2666","256 GB NVMe, 256 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, IPS, glossy: no",2.3,1300 Euro
Lenovo Ideapad 530s-14IKB-81EU00LASP,2019,Windows,core i5-8250u,4,8,1.6,3.4,14,6.0,15 W,geforce mx130,2.0,GDDR5,64,1109 MHz,1253 MHz,8 GB  , 256 GB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, glossy: yes",1.6,
Lenovo Ideapad C340-14IWL-81N4001MGE,2019,Windows,core i5-8265u,4,8,1.6,4.1,14,6.0,28 W,uhd graphics 620,,,,300 MHz,System Shared,"8 GB  ,, DDR4-2400","256 GB NVMe, 256 GB  ","14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, Capacitive, IPS, glossy: yes",1.65,800 Euro
Lenovo IdeaPad S940-14IWL,2019,Windows,core i7-8565u,4,8,1.8,4.6,14,8.0,28 W,uhd graphics 620,,,,300 MHz,System Shared,"16 GB  ,, LPDDR3 2400 MHz","Samsung SSD PM981 MZVLB512HAJQ, 512 GB  ","14.00 inch 16:9, 3840 x 2160 pixel 315 PPI, B140ZAN01.3, IPS, glossy: yes",1.236,
Lenovo Legion Y540-17IRH,2019,Windows,core i5-9300h,4,8,2.4,4.1,14,8.0,45 W,geforce gtx 1660 ti mobile,6.0,GDDR6,192,1455 MHz,1500 MHz,"16 GB  ,, DDR4-2666, dual-channel, two slots (both occupied), up to 32 GB","WDC PC SN520 SDAPNUW-512G, 512 GB  ","17.30 inch 16:9, 1920 x 1080 pixel 127 PPI, AU Optronics B173HAN04.4 (AUO449D), IPS, 144 Hz, glossy: no",2.79,1399 Euro
Lenovo Ideapad L340-15IRH-81LK0001UK,2019,Windows,core i5-9300h,4,8,2.4,4.1,14,8.0,45 W,geforce gtx 1650 mobile,4.0,GDDR5,128,1395 MHz,2001 MHz,"8 GB  ,, DDR4-2400","128 GB NVMe, 128 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, TN, glossy: no",2.19,
Lenovo ThinkPad T590-20N4000DPB,2019,Windows,core i7-8565u,4,8,1.8,4.6,14,8.0,28 W,uhd graphics 620,,,,300 MHz,System Shared,"8 GB  ,, DDR4-2400","512 GB UFS 2.1 Flash, 512 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, IPS, glossy: no",1.75,1500 Euro
Lenovo Flex 14IWL,2019,Windows,core i5-8265u,4,8,1.6,4.1,14,6.0,28 W,uhd graphics 620,,,,300 MHz,System Shared,"16 GB  ,, DDR4-2666 / PC4-21300","Samsung SSD PM981 MZVLB256HAHQ, 256 GB  ","14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, 10-point multitouch, BOE BOE06F2, IPS, glossy: yes",1.656,800 USD
Lenovo Ideapad S145-15IWL-81MV005NSP,2019,Windows,core i3-8145u,2,4,2.1,3.9,10,4.0,28 W,uhd graphics 620,,,,300 MHz,System Shared,8 GB  , 256 GB SSD,"15.60 inch 16:9, 1366 x 768 pixel 100 PPI, glossy: no",1.85,
Lenovo Ideapad S145-15IWL-81MV00B6GE,2019,Windows,core i3-8145u,2,4,2.1,3.9,10,4.0,28 W,uhd graphics 620,,,,300 MHz,System Shared,8 GB  , 256 GB SSD,"15.60 inch 16:9, 1366 x 768 pixel 100 PPI, glossy: no",1.85,
Lenovo ThinkPad E595-20NF0000GE,2019,Windows,ryzen 7 3700u,4,8,2.3,4.0,12,4.0,15 W,radeon rx vega 10,,,,300 MHz,System Shared,"16 GB  ,, DDR4 2666, single-channel, 1/2 slots in use, up to 64 GB",", 512 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, NV156FHM-N49, IPS, glossy: no",1.94,830 Euro
Lenovo ThinkPad T590-20N4002VGE,2019,Windows,core i7-8565u,4,8,1.8,4.6,14,8.0,28 W,geforce mx250,2.0,GDDR5,64,937 MHz,1502 MHz,"16 GB  ,, DDR4-2400, 8 GB soldered + 8 GB SO-DIMM, max. 40 GB",", 512 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, LP156WFC-SPD1, aSi IPS LED, glossy: no",1.9,1800 Euro
Lenovo Legion Y740-15CHg-81HE0041GE,2019,Windows,core i7-8750h,6,12,2.2,4.1,14,12.0,45 W,geforce rtx 2070 max-q,8.0,GDDR6,256,885 MHz,1500 MHz,"16 GB  ,, DDR4-2666","512 MB NAND Flash, 0.5 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, IPS, glossy: no",2.2,2200 Euro
Lenovo V330-14ARR-81B1001EUK,2019,Windows,ryzen 5 2500u,4,8,2.0,3.6,14,4.0,15 W,radeon rx vega 8,,,,2000 MHz,System Shared,"8 GB  ,, DDR4","256 GB NVMe, 256 GB  ","14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, IPS, glossy: no",1.55,450 Euro
Lenovo ThinkPad X1 Extreme-20MF000TRT,2019,Windows,core i7-8750h,6,12,2.2,4.1,14,12.0,45 W,geforce gtx 1050 ti max-q,4.0,GDDR5,128,1152 MHz,1752 MHz,16 GB  , 512 GB SSD,"15.60 inch 16:9, 3840 x 2160 pixel 282 PPI, glossy: no",1.8,
Lenovo Legion Y530-81FV00QARU,2019,Windows,core i7-8750h,6,12,2.2,4.1,14,12.0,45 W,geforce gtx 1050 mobile,2.0,GDDR5,128,1354 MHz,1752 MHz,8 GB  , 128 GB SSD + 1 TB HDD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, glossy: no",2.3,
Lenovo IdeaPad 530S-15IKB-81EV003XRU,2019,Windows,core i5-8250u,4,8,1.6,3.4,14,6.0,15 W,geforce mx150,2.0,GDDR5,64,1469 MHz,1502 MHz,8 GB  , 256 GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI",1.7,
Lenovo Ideapad S145-15API-81UT001,2019,Windows,ryzen 5 pro 3500u,4,8,2.1,3.7,12,4.0,15 W,radeon rx vega 8,,,,2000 MHz,System Shared,"4 GB  ,, DDR4-2400 (Soldered)","128 GB NVMe, 128 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, TN LED, glossy: no",1.85,550 Euro
Lenovo Ideapad S340-15IWL-81N800CPGE,2019,Windows,core i5-8265u,4,8,1.6,4.1,14,6.0,28 W,geforce mx250,2.0,GDDR5,64,937 MHz,1502 MHz,"8 GB  ,, DDR4-2400","512 GB UFS 2.1 Flash, 512 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, IPS, glossy: no",1.8,800 Euro
Lenovo Ideapad D330-10IGM-81H3000VSP,2019,Windows,celeron n4000,2,2,1.1,2.6,14,4.0,6 W,uhd graphics 600,,,,200 MHz,System Shared,4 GB  , 64 GB eMMC,"10.10 inch 16:10, 1280 x 800 pixel 149 PPI, glossy: yes",1.135,
Lenovo Legion Y740-15CHg-81HE000RCK,2019,Windows,core i7-8750h,6,12,2.2,4.1,14,12.0,45 W,geforce rtx 2070 max-q,8.0,GDDR6,256,885 MHz,1500 MHz,16 GB  , 512 GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, glossy: no",2.2,
Lenovo Ideapad 330S-15ARR-81FB00C7GE,2019,Windows,ryzen 5 2500u,4,8,2.0,3.6,14,4.0,15 W,radeon rx vega 8,,,,2000 MHz,System Shared,"8 GB  ,, DDR4-2666, dual-channel, one occupied SO-DIMM slot, 4 GB soldered","WDC PC SN520 SDAPNUW-256G, 256 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, LG Philips LP156WFC-SPD1, IPS, glossy: no",1.87,599 Euro 
Lenovo ThinkPad T490-20N2004EGE,2019,Windows,core i5-8265u,4,8,1.6,4.1,14,6.0,28 W,uhd graphics 620,,,,300 MHz,System Shared,"8 GB  ,, DDR4-2400, 8 GB soldered, 1 SODIMM slot free","Toshiba KXG5AZNV256G, 256 GB  ","14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, NE140FHM-N61, IGZO IPS LED, glossy: no",1.443,1520 Euro
Lenovo ThinkPad T490-20N20049GE,2019,Windows,core i7-8565u,4,8,1.8,4.6,14,8.0,28 W,uhd graphics 620,,,,300 MHz,System Shared,"8 GB  ,, DDR4-2400","256 GB NVMe, 256 GB  ","14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, IPS, glossy: no",1.46,1600 Euro
Lenovo Yoga 530-14ARR-81H9000VGE,2019,Windows,ryzen 7 2700u,4,8,2.2,3.8,14,4.0,15 W,radeon rx vega 10,,,,300 MHz,System Shared,"8 GB  ,, DDR4-2666, dual-channel, two slots (both populated)","SK hynix BC501 HFM256GDHTNG, M.2-2280, 211 GB free","14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, 10-point capacitive, native pen support, AU Optronics B140HAN04.0, IPS, glossy: yes",1.67,799 Euro
Lenovo IdeaPad 330S-15IKB-81F500N5GE,2019,Windows,core i5-8250u,4,8,1.6,3.4,14,6.0,15 W,uhd graphics 620,,,,300 MHz,System Shared,"8 GB  ,, DDR4-2400, Dual-Channel"," WDC WD10SPZX-24Z10T0 + Intel Optane 16 GB, 854 GB free","15.60 inch 16:9, 1920 x 1080 pixel, BOE0700, IPS, glossy: no",1.87,600 Euro
Lenovo IdeaPad 730S-13IWL 81JB0004US,2019,Windows,core i5-8265u,4,8,1.6,4.1,14,6.0,28 W,uhd graphics 620,,,,300 MHz,System Shared,"8 GB  ,, LPDDR3-2133","Samsung SSD PM981 MZVLB256HAHQ, 256 GB  ","13.30 inch 16:9, 1920 x 1080 pixel 166 PPI, B133HAN05.1, IPS, glossy: yes",1.094,770 Euro
Lenovo IdeaPad 530S-14IKB-81EU00SXMH,2019,Windows,core i5-8250u,4,8,1.6,3.4,14,6.0,15 W,uhd graphics 630,,,,350 MHz,System Shared,8 GB  , 256 GB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, glossy: yes",1.6,
Lenovo Ideapad 330-15ICH-81FK00A1SP,2019,Windows,core i5-8300h,4,8,2.3,3.9,14,12.0,45 W,geforce gtx 1050 mobile,2.0,GDDR5,128,1354 MHz,1752 MHz,12 GB  , 1 TB HDD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI",2.2,
Lenovo IdeaPad 330-15ICH 81FK003XM,2019,Windows,core i5-8300h,4,8,2.3,3.9,14,12.0,45 W,geforce gtx 1050 mobile,2.0,GDDR5,128,1354 MHz,1752 MHz,8 GB  , 128 GB SSD + 1 TB HDD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, glossy: no",2.2,
Lenovo Ideapad 330-15ICH-81FK00EGSP,2019,Windows,core i5-8300h,4,8,2.3,3.9,14,12.0,45 W,geforce gtx 1050 mobile,2.0,GDDR5,128,1354 MHz,1752 MHz,8 GB  , 128 GB SSD + 1 TB HDD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, glossy: no",2.2,
Lenovo ThinkPad E590-20NB0012GE,2019,Windows,core i7-8565u,4,8,1.8,4.6,14,8.0,28 W,radeon rx 550x,4.0,GDDR5,128,1100 MHz,1500 MHz,"8 GB  ,, DDR4-2666, Single channel, two slots (one slot occupied)",", 256 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, Lenovo B156HAN02.1, IPS, glossy: no",1.936,950 Euro
Lenovo IdeaPad 330-15ARR-81D2005JGE,2019,Windows,ryzen 3 2200u,2,4,2.5,3.4,14,4.0,15 W,radeon rx vega 3,,,,1200 MHz,System Shared,"4 GB  ,, DDR4, Single-Channel","Seagate Mobile HDD 1TB ST1000LM035, 1024 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, BOE07A3, IPS, glossy: no",2.2,400 Euro
Lenovo Ideapad 330-15ICH-81FK00EJSP,2019,Windows,core i7-8750h,6,12,2.2,4.1,14,12.0,45 W,geforce gtx 1050 mobile,2.0,GDDR5,128,1354 MHz,1752 MHz,8 GB  , 128 GB SSD + 1 TB HDD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, glossy: no",2.2,
Lenovo Yoga 730-13IWL-81JR006AMH,2019,Windows,core i5-8265u,4,8,1.6,4.1,14,6.0,28 W,uhd graphics 620,,,,300 MHz,System Shared,8 GB  , 256 GB SSD,"13.30 inch 16:9, 1920 x 1080 pixel 166 PPI, glossy: no",1.2,
Lenovo Legion Y530-15ICH-81LB007CSP,2019,Windows,core i7-8750h,6,12,2.2,4.1,14,12.0,45 W,geforce gtx 1060 mobile,6.0,GDDR5,192,1404 MHz,2002 MHz,16 GB  , 256 GB SSD + 1 TB HDD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, glossy: no",2.3,
Lenovo ThinkPad X1 Carbon G6-20KH003BMD,2019,Windows,core i7-8550u,4,8,1.8,4.0,14,8.0,15 W,uhd graphics 620,,,,300 MHz,System Shared,8 GB  , 256 GB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, glossy: no",1.1,
Lenovo IdeaPad 330-15ARR-81D2007KSP,2019,Windows,ryzen 5 2500u,4,8,2.0,3.6,14,4.0,15 W,radeon rx vega 8,,,,2000 MHz,System Shared,8 GB  , 256 GB SSD,"15.60 inch 16:9, 1366 x 768 pixel 100 PPI, glossy: no",2.2,
Lenovo ThinkPad X1 Extreme-20MF000TMD,2019,Windows,core i7-8750h,6,12,2.2,4.1,14,12.0,45 W,geforce gtx 1050 ti mobile,4.0,GDDR5,128,1493 MHz,1752 MHz,16 GB  , 512 GB SSD,"15.60 inch 16:9, 3840 x 2160 pixel 282 PPI, glossy: no",1.8,
Lenovo Ideapad L340-17IRH-81LL001YGE,2019,Windows,core i5-9300h,4,8,2.4,4.1,14,8.0,45 W,geforce gtx 1650 mobile,4.0,GDDR5,128,1395 MHz,2001 MHz,"16 GB  ,, DDR4-2400","512 MB NAND Flash, 0.5 GB  ","17.30 inch 16:9, 1920 x 1080 pixel 127 PPI, IPS, glossy: no",2.5,
Lenovo Ideapad D330-10IGM-81MD0006GE,2019,Windows,celeron n4000,2,2,1.1,2.6,14,4.0,6 W,uhd graphics 600,,,,200 MHz,System Shared,"4 GB  ,, DDR4-2133","64 GB eMMC Flash, 64 GB  ","10.10 inch 16:10, 1280 x 800 pixel 149 PPI, Capacitive, native pen support, IPS, glossy: yes, detachable screen",0.6,350 Euro
Lenovo Ideapad 330-15IKBR-81DE019TPB,2019,Windows,core i5-8250u,4,8,1.6,3.4,14,6.0,15 W,uhd graphics 620,,,,300 MHz,System Shared,"4 GB  ,, DDR4-2133 (soldered)", 1TB,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, glossy: no",2.2,
Lenovo ThinkPad E490-20N90006GB,2019,Windows,core i5-8265u,4,8,1.6,4.1,14,6.0,28 W,radeon rx 550x,4.0,GDDR5,128,1100 MHz,1500 MHz,"8 GB  ,, DDR4-2400","256 GB NVMe, 256 GB  ","14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, IPS, glossy: no",1.75,
Lenovo Legion Y530-15ICH-81FV00E2SP,2019,Windows,core i7-8750h,6,12,2.2,4.1,14,12.0,45 W,geforce gtx 1050 mobile,2.0,GDDR5,128,1354 MHz,1752 MHz,8 GB  , 128 GB SSD + 1 TB HDD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, glossy: no",2.3,
Lenovo Ideapad 330S-15IKB-81F5010MIN,2019,Windows,core i3-8130u,2,4,2.4,3.4,14,4.0,15 W,uhd graphics 620,,,,300 MHz,System Shared,"4 GB  ,, DDR4-2400", 1TB HDD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, IPS, glossy: no",1.87,500 Euro
Lenovo Legion Y740-15ICHg-81HE0044GE,2019,Windows,core i7-8750h,6,12,2.2,4.1,14,12.0,45 W,geforce rtx 2070 max-q,8.0,GDDR6,256,885 MHz,1500 MHz,"32 GB  ,, DDR4-2666 (2x 16GB)","512 MB NAND Flash, 0.5 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, IPS, glossy: no",2.2,
Lenovo ThinkPad L390 Yoga-20NT000XGE,2019,Windows,core i5-8265u,4,8,1.6,4.1,14,6.0,28 W,uhd graphics 620,,,,300 MHz,System Shared,"8 GB  ,, DDR-2400, 1 of 2 slots occupied, 32 GB maximum","Samsung SSD PM981 MZVLB256HAHQ, 256 GB  ","13.30 inch 16:9, 1920 x 1080 pixel 166 PPI, 10-finger multi-touch, native pen support, LEN4094, NV133FHM-N5A, IPS LED, glossy: yes",1.52,1039 Euro
Lenovo Legion Y7000P-1060,2019,Windows,core i7-8750h,6,12,2.2,4.1,14,12.0,45 W,geforce gtx 1060 mobile,6.0,GDDR5,192,1404 MHz,2002 MHz,"16 GB  ,, DDR4-2666 PC4-21300, 19-19-19-43, Dual-Channel","Samsung SSD PM981 MZVLB256HAHQ, 256 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, BOE NV156FHM-N61, IPS, BOE06FB, glossy: no",2.407,1100 USD
Lenovo IdeaPad 330-15ICH-81FK003YMH,2019,Windows,core i5-8300h,4,8,2.3,3.9,14,12.0,45 W,geforce gtx 1050 mobile,2.0,GDDR5,128,1354 MHz,1752 MHz,8 GB  , 256 GB SSD + 1 TB HDD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, glossy: no",2.2,
Lenovo ThinkPad E485-20KU000NGE,2019,Windows,ryzen 5 2500u,4,8,2.0,3.6,14,4.0,15 W,radeon rx vega 8,,,,2000 MHz,System Shared,"8 GB  ,, DDR4-2400, single-channel, max. 64 GB",", 256 GB  ","14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, B140HAN04.2, IPS, glossy: no",1.812,650 Euro
Lenovo Legion Y740-17ICH,2019,Windows,core i7-8750h,6,12,2.2,4.1,14,12.0,45 W,geforce rtx 2080 max-q,8.0,GDDR6,256,735 MHz,1500 MHz,"16 GB  ,, DDR4-2666, 19-19-19-43, Dual-Channel","Samsung SSD PM981 MZVLB256HAHQ, 256 GB  ","17.30 inch 16:9, 1920 x 1080 pixel 127 PPI, AU Optronics B173HAN03.2, IPS, AUO329D, glossy: no",2.8,2300 USD
Lenovo ThinkPad X1 Yoga-20LD002MMD,2019,Windows,core i7-8550u,4,8,1.8,4.0,14,8.0,15 W,uhd graphics 620,,,,300 MHz,System Shared,16 GB  , 512 GB SSD,"14.00 inch 16:9, 2560 x 1440 pixel 210 PPI, glossy: yes",1.4,
Lenovo Legion Y740-17ICHg-81HH001NGE,2019,Windows,core i7-8750h,6,12,2.2,4.1,14,12.0,45 W,geforce rtx 2080 max-q,8.0,GDDR6,256,735 MHz,1500 MHz,16 GB  , 256 GB SSD + 1 TB HDD,"17.30 inch 16:9, 1920 x 1080 pixel 127 PPI, glossy: no",2.9,
Lenovo ThinkPad E590-20NC0003GE,2019,Windows,core i7-8565u,4,8,1.8,4.6,14,8.0,28 W,uhd graphics 620,,,,300 MHz,System Shared,"16 GB  ,, DDR4-2400, 1 of 2 slots free, max 64GB","Toshiba KBG30ZMT512G, 512 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, LP156WFC-SPDB, IPS LED, glossy: no",1.923,950 Euro
Lenovo Yoga 530-14ARR-81H90019SP,2019,Windows,ryzen 3 2200u,2,4,2.5,3.4,14,4.0,15 W,radeon rx vega 3,,,,1200 MHz,System Shared,4 GB  , 128 GB SSD,"14.00 inch 16:9, 1366 x 768 pixel 112 PPI, glossy: yes",1.7,
Lenovo IdeaPad 330-17IKB 81DM,2019,Windows,core i7-8550u,4,8,1.8,4.0,14,8.0,15 W,geforce mx150,2.0,GDDR5,64,1469 MHz,1502 MHz,"16 GB  ,, DDR4-2666, 10-10-10-28, Single-channel","WDC Blue WD10SPZX-24Z10T0, 1000 GB  ","17.30 inch 16:9, 1600 x 900 pixel 106 PPI, BOE0685, TN LED, glossy: no",2.8,900 USD
Lenovo Yoga 730-15IKB-81CU0056PB,2019,Windows,core i7-8550u,4,8,1.8,4.0,14,8.0,15 W,uhd graphics 620,,,,300 MHz,System Shared,8 GB  , 256 GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, glossy: yes",1.9,
Lenovo Ideapad S530-13IWL,2019,Windows,core i5-8265u,4,8,1.6,4.1,14,6.0,28 W,uhd graphics 620,,,,300 MHz,System Shared,"8 GB  ,, Dual-channel","Lenovo UMIS AM610 RPFTJ256PDD2MWX, 256 GB  ","13.30 inch 16:9, 1920 x 1080 pixel 166 PPI, BOE07D7, IPS, glossy: yes",1.19,700 Euro
Lenovo Yoga 730-13IKB-81CT0075SP,2019,Windows,core i7-8550u,4,8,1.8,4.0,14,8.0,15 W,uhd graphics 620,,,,300 MHz,System Shared,8 GB  , 512 GB SSD,"13.30 inch 16:9, 1920 x 1080 pixel 166 PPI, IPS",1.2,
Lenovo Ideapad 120S-11IAP-81A400EBSP,2019,Windows,celeron n3350,2,2,1.1,2.4,14,2.0,6 W,hd graphics 500,,,,200 MHz,System Shared,2048 MB  , 32 GB eMMC,"11.60 inch 16:9, 1366 x 768 pixel 135 PPI, TN, glossy: no",1.2,
Lenovo Legion Y740-17ICHG-81HH0012GE,2019,Windows,core i7-8750h,6,12,2.2,4.1,14,12.0,45 W,geforce rtx 2070 max-q,8.0,GDDR6,256,885 MHz,1500 MHz,"32 GB  ,, DDR4-2666","512 MB NAND Flash, 0.5 GB  ","17.30 inch 16:9, 1920 x 1080 pixel 127 PPI, IPS, glossy: no",2.9,2500 Euro
Lenovo Ideapad 530s-14IKBR-81EU00C5SP,2019,Windows,core i7-8550u,4,8,1.8,4.0,14,8.0,15 W,uhd graphics 620,,,,300 MHz,System Shared,8 GB  , 512 GB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, IPS, glossy: yes",1.6,
Lenovo Legion Y540-15ICH,2019,Windows,core i7-8750h,6,12,2.2,4.1,14,12.0,45 W,geforce rtx 2060 mobile,6.0,GDDR6,192,960 MHz,1750 MHz,"32 GB  ,, DDR4-2666","512 MB NAND Flash, 0.5 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, IPS, 72% color gamut, and 300 nits, glossy: no",2.35,
Lenovo ThinkPad P1-20MD000NGE,2019,Windows,core i7-8850h,6,12,2.7,4.3,14,12.0,45 W,quadro p2000,5.0,GDDR5,160,1076 MHz,1752 MHz,"16 GB  ,, DDR4-2666","512 MB NAND Flash, 0.5 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, IPS, glossy: no",1.7,2700 Euro
Lenovo Ideapad 330S-15IKB-81F500C1GE,2019,Windows,pentium gold 4415u,2,4,2.3,,14,2.0,15 W,hd graphics 610,,,,300 MHz,System Shared,"4 GB  ,, DDR4-2133","128 GB NVMe, 128 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, IPS, glossy: no",1.87,450 Euro
Lenovo IdeaPad Flex 5 15-1570-81CA001QUS,2019,Windows,core i7-8550u,4,8,1.8,4.0,14,8.0,15 W,uhd graphics 620,,,,300 MHz,System Shared,"16 GB  ,, DDR4-2400","512 MB NAND Flash, 0.5 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, Capacitive, IPS, glossy: yes",2.0,
Lenovo V330-14IKB-81B0004MGE,2019,Windows,core i5-8250u,4,8,1.6,3.4,14,6.0,15 W,uhd graphics 620,,,,300 MHz,System Shared,"8 GB  ,, DDR4, 1 Slot, 4 GB soldered","SK hynix PC401 HFS256GD9TNG, 256 GB  ","14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, NT140FHM-N41, LED, glossy: no",1.653,650 Euro
Lenovo Yoga 730-15IWL-81JS000EGE,2019,Windows,core i5-8265u,4,8,1.6,4.1,14,6.0,28 W,uhd graphics 620,,,,300 MHz,System Shared,8 GB  , 256 GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, glossy: yes",1.9,
Lenovo Yoga 730-15IKBR-81CU003WSP,2019,Windows,core i7-8550u,4,8,1.8,4.0,14,8.0,15 W,geforce gtx 1050 mobile,2.0,GDDR5,128,1354 MHz,1752 MHz,8 GB  , 512 GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, glossy: yes",1.9,
Lenovo ThinkPad X1 Extreme-20MF000XUK,2019,Windows,core i7-8750h,6,12,2.2,4.1,14,12.0,45 W,geforce gtx 1050 ti mobile,4.0,GDDR5,128,1493 MHz,1752 MHz,"32 GB  ,, DDR4-2666", 1TB SSD,"15.60 inch 16:9, 3840 x 2160 pixel 282 PPI, IPS, glossy: no",1.7,2700 Euro
Lenovo Yoga 530-14IKB-81EK00SNMX,2019,Windows,core i5-8250u,4,8,1.6,3.4,14,6.0,15 W,uhd graphics 620,,,,300 MHz,System Shared,8 GB  , 256 GB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, glossy: yes",1.7,
Lenovo Yoga 330-11IGM-81A6001CSP,2019,Windows,celeron n4000,2,2,1.1,2.6,14,4.0,6 W,uhd graphics 600,,,,200 MHz,System Shared,2048 MB  , 32 GB eMMC,"11.60 inch 16:9, 1366 x 768 pixel 135 PPI",1.25,
Lenovo Yoga 530-14ARR-81H9001PMH,2019,Windows,ryzen 5 2500u,4,8,2.0,3.6,14,4.0,15 W,radeon rx vega 8,,,,2000 MHz,System Shared,8 GB  , 256 GB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, glossy: yes",1.7,
