Laptop_name,Year,OS,CPU,CPU_Cores,CPU_Threads,CPU_Default_Clock,CPU_Boosted_Clock,CPU_Transistor_Size(nm),CPU_L3(MB),CPU_TDP,GPU,GPU_Memory(GB),GPU_Memory_Type,GPU_Bus_Width(bit),GPU clock,GPU memory clock,Memory,Storage,Display,Weight(kg),Price
Lenovo IdeaPad S12,2010,Windows,atom n270,1,2,1.6,,45,,3 W,geforce 9400m,,,,450 MHz,System Shared,"2048 MB  ,, DDR2-533,3 USB 2.0, 1 VGA, 1 HDMI, 1 Kensington Lock, Audio Connections: 3,5 mm audio ports, microphone, Card Reader: SD, MMC, Memory-Stick, MS Pro","Fujitsu MJA2250BH G2, 250 GB  ","12.00 inch 16:10, 1280 x 800 pixel, glossy: yes",1.55,400 Euro
MSI Wind U160,2010,Windows,atom n450,1,2,1.667,,45,,6 W,gma,,,,,System Shared,"1024 MB  ,, DDR-2",", 160 GB  ","10.00 inch 10:6, 1024 x 600 pixel, LED backlight, glossy: yes",1.23,350 Euro
MSI GE603,2010,Windows,core i5-460m,2,4,2.534,2.8,32,3.0,35 W,geforce gt 425m,1.0,DDR3,128,560 MHz,800 MHz,"4 GB  ,, PC3-10700 (667MHz)",", 500 GB  ","16.00 inch 16:9, 1366 x 768 pixel, Hannstar HSD160PHW1, glossy: yes",2.459,890 Euro
MSI GE600-i5447W7P,2010,Windows,core i5-430m,2,4,2.267,2.534,32,3.0,35 W,mobility radeon hd 5730,1.0,GDDR3,128,650 MHz,800 MHz,"4 GB  ,, DDR3","WDC Scorpio Blue WD5000BEVT-22A0R, 500 GB  ","16.00 inch 16:9, 1366 x 768 pixel, HSD160PHW1, glossy: yes",2.492,899 Euro
MSI FX600-i5447W7P,2010,Windows,core i5-450m,2,4,2.4,2.666,32,3.0,35 W,geforce gt 325m,1.0,DDR3,128,450 MHz,700 MHz,"4 GB  ,, PC3-8500","WDC Scorpio Blue WD5000BEVT-22A0RT0, 500 GB  ","15.60 inch 16:9, 1366 x 768 pixel, Samsung 156AT05-H01, glossy: yes",2.487,850 Euro
MSI GX640-i5447LW7P,2010,Windows,core i5-430m,2,4,2.267,2.534,32,3.0,35 W,mobility radeon hd 5850,1.0,GDDR5,128,500 MHz,1000 MHz,"4 GB  ,, 2x 2048 MByte DDR3-8500 (1066 MHz)","Seagate Momentus 7200.4 ST9500420AS, 500 GB  ","15.40 inch 16:10, 1680 x 1050 pixel, SEC3946, glossy: yes",2.7,1200 Euro
Acer Aspire S3-951-6646,2011,Windows,core i5-2467m,2,4,1.6,,32,3.0,17 W,hd graphics 3000,,,,650 MHz,System Shared,4 GB  ,"Hitachi Travelstar Z5K320 HTS543232A7A384, 320 GB  ","13.30 inch 16:9, 1366 x 768 pixel, AUO102C, glossy: yes",1.4,800 Euro
Acer Aspire 3830TG-2414G75nbb,2011,Windows,core i5-2410m,2,4,2.3,2.9,32,3.0,35 W,geforce gt 540m,1.0,DDR3,128,672 MHz,900 MHz,"4 GB  ,, Manufacturer: Hynix (Hyundai Electronics), DDR3-10600, 1333 MHz, max. 8 GB, 2 slots","WDC Scorpio Blue WD7500BPVT-22HXZT1, 750 GB  ","13.30 inch 16:9, 1366 x 768 pixel, AUO B133XW03 V2, LED, 33 cm diagonally, glossy: yes",1.89,799 Euro
Acer Aspire One D257,2011,Windows,atom n455,1,2,1.667,,45,,7 W,gma,,,,,System Shared,1024 MB  ,,"10.10 inch 16:10, 1024 x 600 pixel, glossy: yes",1.1,250 Euro
Acer TravelMate TimelineX 8481TG-2464G38nkk,2011,Windows,core i5-2467m,2,4,1.6,,32,3.0,17 W,geforce gt 520m,1.0,DDR3,64,740 MHz,800 MHz,4 GB  ,,"14.00 inch 16:9, 1366 x 768 pixel, glossy: yes",1.75,1000 Euro
