,OS,CPU_Threads,CPU_Boosted_Clock,CPU_L3(MB),CPU_TDP(W),GPU_Memory(GB),GPU_Memory_Type,GPU memory clock(MHz),RAM(GB),RAM_DDR,Storage(GB),Display_Inch,Display_Height(pixel),Weight(kg)
908,Windows,16,4.3,8,15,0,,0,16,4,256,14.0,1920,1.555
1667,Windows,16,5.0,24,35,8,GDDR6,1750,32,4,2048,15.6,3840,1.947
509,Windows,8,4.2,8,28,0,,0,8,4,512,13.3,1920,1.32
1732,Windows,8,4.9,8,25,0,,0,16,4,512,13.3,1920,1.31
1716,Windows,8,4.2,8,28,4,GDDR6,1250,16,4,256,14.0,1920,1.63
623,Windows,20,4.7,24,45,8,GDDR6,1750,16,5,1024,16.0,2560,2.553
90,Windows,16,4.5,18,45,6,GDDR6,1750,16,4,512,15.6,1920,2.5
165,Windows,16,4.9,16,35,8,GDDR6,2000,32,5,1024,14.0,2560,1.71
169,Windows,16,4.9,16,35,8,GDDR6,1750,16,5,1024,15.6,2560,1.9
972,Windows,8,4.2,8,28,0,,0,8,4,256,13.0,2160,0.802
1902,MacOS,8,3.2,24,15,0,,0,16,4,512,14.2,3024,1.6
1092,Windows,16,4.9,24,35,8,GDDR6,1750,64,4,2048,17.3,3840,2.384
779,Windows,20,5.0,24,45,8,GDDR6,1750,32,5,1024,15.6,1920,2.1
110,Windows,8,4.5,8,28,0,,0,16,4,512,15.6,1920,1.8
147,Windows,16,4.7,24,45,4,GDDR6,1500,16,5,512,15.6,2560,1.945
1520,Windows,16,4.4,16,45,6,GDDR6,1750,16,4,1024,17.3,1920,2.7
932,Windows,4,3.3,4,15,0,,0,8,4,256,15.6,1920,1.85
366,Windows,16,4.8,24,35,6,GDDR6,1375,32,4,512,17.3,3840,2.53
1117,Windows,8,4.2,8,28,0,,0,8,4,512,15.6,1920,1.6
11,Windows,4,2.0,4,15,0,,0,8,4,512,15.6,1920,1.65
216,Windows,12,4.2,16,45,4,GDDR6,1500,16,4,512,14.0,2880,1.45
1236,Windows,4,3.4,4,15,0,,0,4,4,128,15.6,1920,1.8
1093,Windows,8,5.0,12,28,0,,0,16,4,512,14.0,1920,1.224
951,Windows,16,5.3,16,45,4,GDDR5,1751,32,4,1024,15.6,3840,1.71
1708,Windows,16,5.3,16,45,6,GDDR6,1500,32,4,1024,15.6,3840,1.955
1738,Windows,16,4.2,12,54,6,GDDR6,1750,16,4,512,15.6,1920,2.16
943,Windows,8,4.7,12,28,0,,0,16,4,512,14.0,3840,1.286
43,Windows,8,4.8,12,32,0,,0,16,4,512,16.1,1920,1.674
691,Windows,16,4.6,24,35,6,GDDR6,1750,16,4,1024,17.3,1920,2.98
1516,Windows,8,4.8,12,32,4,GDDR6,1500,16,4,512,15.6,1920,2.0
1051,Windows,16,4.3,8,15,0,,0,16,4,512,15.6,1920,1.66
241,Windows,8,4.2,8,28,0,,0,12,4,512,15.6,1920,1.8
154,Windows,20,4.7,24,45,4,GDDR6,1750,16,4,1024,15.6,2880,1.828
1749,Windows,8,4.8,12,28,2,GDDR6,1250,32,4,1024,14.0,1920,1.35
1058,Windows,8,4.7,12,28,0,,0,16,4,512,15.6,1920,1.65
927,Windows,8,4.5,6,45,6,GDDR6,1750,16,4,512,15.6,1920,2.46
746,Windows,20,5.0,24,45,8,GDDR6,1750,32,5,1024,17.0,2560,2.498
1199,Windows,8,4.4,8,32,2,GDDR6,1250,16,4,512,15.6,3456,1.8
1569,Windows,8,4.7,12,28,0,,0,16,4,512,15.6,1920,1.96
1355,Windows,12,4.0,8,15,0,,0,8,4,512,15.6,1920,1.8
40,Windows,16,4.7,18,28,0,,0,16,5,1024,14.0,2560,1.2
1412,Windows,8,4.2,8,28,2,GDDR5,1752,8,4,512,15.6,1920,1.8
1105,Windows,8,4.8,12,28,6,GDDR6,1750,16,4,1024,15.6,1920,1.69
912,Windows,8,4.2,8,28,0,,0,16,4,512,15.6,1920,1.759
1635,Windows,16,4.3,8,15,0,,0,16,4,512,15.6,1920,1.75
716,Windows,16,4.6,16,45,4,GDDR6,1500,32,4,512,16.0,2560,1.9
976,Windows,8,4.2,6,25,0,,0,8,4,256,13.3,1920,1.25
62,Windows,16,4.6,24,35,8,GDDR6,1750,16,4,1024,16.1,2560,2.45
1875,Windows,12,4.0,8,15,0,,0,8,4,512,17.3,1920,2.07
1091,Windows,16,5.0,24,45,8,GDDR6,1750,64,4,2048,17.3,1920,3.02
611,Windows,20,4.7,24,45,6,GDDR6,1750,16,5,2048,16.0,2560,2.55
279,Windows,16,4.7,16,35,8,GDDR6,1750,16,5,1024,14.0,2560,1.65
260,Windows,8,4.5,6,45,4,GDDR5,2001,8,4,512,15.6,1920,2.3
1329,Windows,16,4.4,16,45,8,GDDR6,1750,16,4,1024,15.6,2560,2.3
155,Windows,20,4.7,24,45,0,,0,16,4,512,14.5,2880,1.736
270,Windows,16,4.7,24,45,6,GDDR6,1750,16,4,512,15.6,1920,2.0
857,Windows,12,4.2,16,15,0,,0,16,4,512,14.0,2240,1.474
997,Windows,16,5.0,24,35,16,GDDR6,1750,32,4,1024,15.6,1920,2.87
1511,Windows,16,4.4,16,45,6,GDDR6,1750,16,4,512,15.6,1920,2.3
393,Windows,16,4.4,16,45,4,GDDR6,1500,16,4,512,15.6,1920,2.81
777,Windows,20,4.7,24,45,8,GDDR6,1750,32,5,1024,17.3,2560,2.8
1283,Windows,8,4.2,8,28,0,,0,8,4,512,14.0,1920,1.2
1025,Windows,12,4.2,16,45,6,GDDR6,1750,16,4,512,15.6,1920,2.4
295,Windows,16,4.7,16,45,6,GDDR6,1750,16,5,512,15.6,1920,2.3
850,Windows,4,4.1,4,25,0,,0,16,4,256,15.6,1920,1.53
1578,Windows,8,4.2,8,28,0,,0,8,4,256,13.3,1920,1.147
1411,Windows,12,4.0,8,15,0,,0,16,4,512,13.3,1920,1.07
1271,Windows,16,4.4,16,15,4,GDDR6,1500,16,4,512,14.0,1920,1.5
1427,Windows,16,4.6,16,45,8,GDDR6,1750,32,4,1024,17.3,1920,2.7
775,Windows,20,5.0,24,45,16,GDDR6,2000,64,5,2048,17.3,3840,2.8
322,Windows,12,4.4,12,9,0,,0,16,4,512,13.0,2880,0.764
663,Windows,16,4.8,24,35,4,GDDR6,1375,16,4,512,15.6,1920,2.87
1003,Windows,8,4.4,12,15,0,,0,16,4,1024,13.3,2560,1.16
389,Windows,12,4.4,12,15,0,,0,16,4,512,14.0,1920,1.57
1596,Windows,8,4.7,12,28,2,GDDR5,1752,16,4,1024,14.5,2560,1.26
421,Windows,8,4.2,8,28,0,,0,16,4,1024,14.0,1920,1.44
772,Windows,16,4.4,12,28,0,,0,16,5,512,14.0,1920,1.6
1245,Windows,4,3.3,4,6,0,,0,8,4,256,17.3,1920,2.6
339,Windows,20,4.7,24,45,6,GDDR6,1750,32,5,1024,17.0,3840,2.512
989,Windows,8,4.2,8,28,0,,0,8,4,256,14.0,1920,1.13
419,Windows,16,5.0,24,35,6,GDDR6,1375,16,4,1024,17.3,3840,2.926
605,Windows,20,4.8,24,28,0,,0,32,4,1024,13.0,2160,0.958
352,Windows,16,4.7,18,28,0,,0,32,5,1024,13.4,1920,1.26
1573,Windows,8,4.4,8,32,2,GDDR6,1250,8,4,512,15.6,1920,1.8
590,Windows,12,4.3,16,15,0,,0,8,4,256,14.0,1920,1.566
1585,Windows,8,4.5,6,45,4,GDDR6,1500,8,4,512,15.6,1920,2.56
