,Laptop_name,Year,OS,CPU,CPU_Cores,CPU_Threads,CPU_Default_Clock,CPU_Boosted_Clock,CPU_Transistor_Size(nm),CPU_L3(MB),CPU_TDP,GPU,GPU_Memory(GB),GPU_Memory_Type,GPU_Bus_Width(bit),GPU clock(MHz),GPU memory clock(MHz),RAM(GB),RAM_bus,RAM_DDR,Storage(GB),Storage_Type,Display_Inch,Display_Height(pixel),Display_Width(pixel),Weight(kg),Price(USD)
10,Acer Predator Helios 300 PH317-56-718D,2022.0,Windows,core i7-12700h,14,20,2.3,4.7,10,24,45 W,geforce rtx 3070 ti mobile,8,GDDR6,256,915.0,1750.0,32,0,5,1024.0,SSD,17.3,2560,1440,2.993,
11,Acer Aspire 5 A515-56-P8NZ,2022.0,Windows,pentium gold 7505,2,4,2.0,,10,4,15 W,uhd graphics xe g4 48eus,0,,0,1450.0,0.0,8,0,4,512.0,SSD,15.6,1920,1080,1.65,525.0
12,Acer Swift 3 SF314-71-56U3,2022.0,Windows,core i5-12500h,12,16,2.5,4.5,10,18,45 W,iris xe graphics g7 80eus,0,,0,300.0,0.0,16,0,4,1024.0,SSD,14.0,2880,1800,1.364,1365.0
13,Swift X 142022),2022.0,Windows,core i5-1240p,12,16,1.7,4.4,10,12,28 W,geforce rtx 3050 mobile,4,GDDR6,128,712.0,1500.0,16,0,5,512.0,SSD,14.0,2240,1400,1.402,1366.0
14,Acer Predator Triton 300 SE,2022.0,Windows,core i9-12900h,14,20,2.5,5.0,10,24,45 W,geforce rtx 3060 mobile,6,GDDR6,192,900.0,1750.0,32,2133,4,1024.0,SSD,14.0,2880,1800,1.734,1950.0
15,Acer Nitro 5 AN515-46-R1A1,2022.0,Windows,ryzen 7 6800h,8,16,3.2,4.7,6,16,45 W,geforce rtx 3070 ti mobile,8,GDDR6,256,915.0,1750.0,16,0,5,1024.0,SSD,15.6,1920,1080,2.5,2101.0
16,Swift X 162022),2022.0,Windows,core i7-1260p,12,16,2.1,4.7,10,18,28 W,arc a370m,4,GDDR6,64,300.0,1750.0,16,0,5,1024.0,SSD,16.0,2560,1600,1.75,1577.0
17,Acer Swift X SFX16-52G-52VE,2022.0,Windows,core i5-1240p,12,16,1.7,4.4,10,12,28 W,arc a370m,4,GDDR6,64,300.0,1750.0,16,0,5,512.0,SSD,16.0,2560,1600,1.77,1366.0
18,Acer TravelMate P6 TMP614P-52-724G,2022.0,Windows,core i7-1185g7,4,8,3.0,4.8,10,12,28 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,16,0,4,512.0,SSD,14.0,1920,1200,1.165,1786.0
19,Acer Aspire 5 A515-57G-53N8,2022.0,Windows,core i5-1240p,12,16,1.7,4.4,10,12,28 W,geforce rtx 2050 mobile,4,GDDR6,64,1185.0,1750.0,16,0,4,512.0,SSD,15.6,1920,1080,1.824,1051.0
20,Acer Nitro 5 AN517-55-738R,2022.0,Windows,core i7-12700h,14,20,2.3,4.7,10,24,45 W,geforce rtx 3060 mobile,6,GDDR6,192,900.0,1750.0,16,0,4,512.0,SSD,17.3,1920,1080,3.062,1786.0
21,Acer Swift X 16,2022.0,Windows,core i5-11320h,4,8,2.5,4.5,10,8,28 W,geforce rtx 3050 mobile,4,GDDR6,128,712.0,1500.0,16,0,4,512.0,SSD,16.1,1920,1080,1.82,1261.0
22,Acer Nitro 5 AN515-58-72QR,2022.0,Windows,core i7-12700h,14,20,2.3,4.7,10,24,45 W,geforce rtx 3070 ti mobile,8,GDDR6,256,915.0,1750.0,16,0,4,1024.0,SSD,15.6,2560,1440,2.453,2101.0
23,Acer Swift X SFX14-41G-R7F3,2022.0,Windows,ryzen 5 5500u,6,12,2.1,4.0,7,8,15 W,geforce gtx 1650 mobile,4,GDDR5,128,1395.0,2001.0,16,0,4,1024.0,SSD,14.0,1920,1080,1.4,
24,Acer Swift 3 SF314-511-54ZK,2022.0,Windows,core i5-1135g7,4,8,2.4,4.2,10,8,28 W,iris xe graphics g7 80eus,0,,0,300.0,0.0,16,0,4,512.0,SSD,14.0,1920,1080,1.214,
25,Acer TravelMate P4 TMP414-51-59MR,2022.0,Windows,core i5-1135g7,4,8,2.4,4.2,10,8,28 W,iris xe graphics g7 80eus,0,,0,300.0,0.0,8,0,4,256.0,SSD,14.0,1920,1080,1.4,840.0
26,Acer Aspire 7 A715-42G-R0XB,2022.0,Windows,ryzen 5 5500u,6,12,2.1,4.0,7,8,15 W,geforce gtx 1650 mobile,4,GDDR5,128,1395.0,2001.0,8,3200,4,512.0,SSD,15.6,1920,1080,2.15,893.0
27,Acer TravelMate Spin B3 TMB311RN-31-P5KK,2022.0,Windows,pentium silver n5030,4,4,1.1,3.3,14,4,6 W,uhd graphics 605,0,,0,200.0,0.0,4,0,4,128.0,SSD,11.6,1920,1080,1.49,419.0
28,Acer TravelMate Vero TMV15-51-728C,2022.0,Windows,core i7-1195g7,4,8,2.9,5.0,10,12,28 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,16,0,4,1024.0,SSD,15.6,1920,1080,1.8,1156.0
29,Acer TravelMate P2 TMP214-53-37AT,2022.0,Windows,core i3-1115g4,2,4,3.0,4.1,10,6,28 W,uhd graphics xe g4 48eus,0,,0,1450.0,0.0,8,0,4,256.0,SSD,14.0,1920,1080,1.6,
30,Acer TravelMate P2 P215-41-G2-R7PB,2022.0,Windows,ryzen 7 pro 5850u,8,16,1.9,4.4,7,16,15 W,radeon rx vega 8,0,,0,2000.0,0.0,16,0,4,512.0,SSD,15.6,1920,1080,1.8,
31,Acer Travelmate B3 TMB311-31-C369,2022.0,Windows,celeron n4120,4,4,1.1,2.6,14,4,6 W,uhd graphics 600,0,,0,200.0,0.0,4,0,4,512.0,SSD,11.6,1366,768,1.4,
32,Acer TravelMate B3 TMB311-31-C1VR,2022.0,Windows,celeron n4120,4,4,1.1,2.6,14,4,6 W,uhd graphics 600,0,,0,200.0,0.0,4,0,4,512.0,SSD,11.6,1366,768,1.4,326.0
33,Acer Swift X SFX14-51G-79RJ,2022.0,Windows,core i7-1260p,12,16,2.1,4.7,10,18,28 W,geforce rtx 3050 ti mobile,4,GDDR6,128,735.0,1500.0,16,0,5,1024.0,SSD,14.0,2240,1400,1.4,1366.0
34,Acer Swift X SFX14-41G-R9Q5,2022.0,Windows,ryzen 5 5500u,6,12,2.1,4.0,7,8,15 W,geforce gtx 1650 max-q,4,GDDR5,128,1020.0,1751.0,8,0,4,512.0,SSD,14.0,1920,1080,1.5,
35,Acer Swift X SFX14-41G-R6BZ,2022.0,Windows,ryzen 5 5500u,6,12,2.1,4.0,7,8,15 W,geforce gtx 1650 max-q,4,GDDR5,128,1020.0,1751.0,8,0,4,512.0,SSD,14.0,1920,1080,1.5,
36,Acer Swift X SFX14-41G-R5EM,2022.0,Windows,ryzen 7 5800u,8,16,1.9,4.4,7,16,15 W,geforce rtx 3050 mobile,4,GDDR6,128,712.0,1500.0,16,0,4,512.0,SSD,14.0,1920,1080,1.5,1156.0
37,Acer Swift X SFX14-41G-R1GH,2022.0,Windows,ryzen 7 5800u,8,16,1.9,4.4,7,16,15 W,geforce rtx 3050 ti mobile,4,GDDR6,128,735.0,1500.0,16,0,4,1024.0,SSD,14.0,1920,1080,1.5,
38,Acer Swift X SFX14-41G-R0SG,2022.0,Windows,ryzen 5 5600u,6,12,2.3,4.2,7,16,15 W,geforce rtx 3050 mobile,4,GDDR6,128,712.0,1500.0,8,0,4,512.0,SSD,14.0,1920,1080,1.5,
39,Acer Swift X SFX14-41G-R0FB,2022.0,Windows,ryzen 5 5500u,6,12,2.1,4.0,7,8,15 W,geforce rtx 3050 mobile,4,GDDR6,128,712.0,1500.0,16,0,4,512.0,SSD,14.0,1920,1080,1.5,
40,Acer Swift 5 SF514-56T-797T,2022.0,Windows,core i7-1260p,12,16,2.1,4.7,10,18,28 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,16,0,5,1024.0,SSD,14.0,2560,1600,1.2,1577.0
41,Acer Swift 5 SF514-56T-7173,2022.0,Windows,core i7-1260p,12,16,2.1,4.7,10,18,28 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,16,0,5,1024.0,SSD,14.0,2560,1600,1.2,1629.0
42,Acer Swift 3 SF316-51-57D7,2022.0,Windows,core i5-11300h,4,8,4.4,,10,8,32 W,iris xe graphics g7 80eus,0,,0,300.0,0.0,8,0,4,512.0,SSD,16.1,1920,1080,1.75,631.0
43,Acer Swift 3 SF316-51,2022.0,Windows,core i7-11370h,4,8,4.8,,10,12,32 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,16,0,4,512.0,SSD,16.1,1920,1080,1.674,1050.0
44,Acer Swift 3 SF314-71-79ZW,2022.0,Windows,core i7-12650h,10,16,2.3,4.7,10,24,45 W,uhd graphics 64eus,0,,0,1400.0,0.0,16,0,5,512.0,SSD,14.0,2880,1800,1.4,
45,Acer Swift 3 SF314-71-751E,2022.0,Windows,core i7-12700h,14,20,2.3,4.7,10,24,45 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,16,0,5,1024.0,SSD,14.0,2880,1800,1.4,1419.0
46,Acer Swift 3 SF314-59-50MZ,2022.0,Windows,core i5-1135g7,4,8,2.4,4.2,10,8,28 W,iris xe graphics g7 80eus,0,,0,300.0,0.0,8,0,4,256.0,SSD,14.0,1920,1080,1.2,
47,Acer Swift 3 SF314-512-78H2,2022.0,Windows,core i7-1260p,12,16,2.1,4.7,10,18,28 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,16,0,4,1024.0,SSD,14.0,2560,1440,1.25,
48,Acer Swift 3 SF314-512-50F6,2022.0,Windows,core i5-1240p,12,16,1.7,4.4,10,12,28 W,iris xe graphics g7 80eus,0,,0,300.0,0.0,16,0,4,512.0,SSD,14.0,2160,1440,1.25,1104.0
49,Acer Swift 3 SF314-511-58NS,2022.0,Windows,core i5-1135g7,4,8,2.4,4.2,10,8,28 W,iris xe graphics g7 80eus,0,,0,300.0,0.0,16,0,4,512.0,SSD,14.0,1920,1080,1.2,841.0
50,Acer Swift 3 SF314-511-38C8,2022.0,Windows,core i3-1115g4,2,4,3.0,4.1,10,6,28 W,uhd graphics xe g4 48eus,0,,0,1450.0,0.0,8,0,4,512.0,SSD,14.0,1920,1080,1.2,
51,Acer Swift 3 SF314-43-R704,2022.0,Windows,ryzen 5 5500u,6,12,2.1,4.0,7,8,15 W,radeon rx vega 7,0,,0,1800.0,0.0,16,0,4,512.0,SSD,14.0,1920,1080,1.19,736.0
52,Acer Swift 3 SF314-43-R4JU,2022.0,Windows,ryzen 3 5300u,4,8,2.6,3.8,7,4,15 W,radeon rx vega 6,0,,0,1500.0,0.0,8,0,4,512.0,SSD,14.0,1920,1080,1.2,526.0
53,Acer Swift 3 SF314-43-R1PS,2022.0,Windows,ryzen 5 5500u,6,12,2.1,4.0,7,8,15 W,radeon rx vega 7,0,,0,1800.0,0.0,8,0,4,512.0,SSD,14.0,1920,1080,1.2,757.0
54,Acer Swift 3 SF314-42-R0EG,2022.0,Windows,ryzen 5 4500u,6,6,2.3,4.0,7,11,25 W,radeon rx vega 6,0,,0,1500.0,0.0,8,0,4,256.0,SSD,14.0,1920,1080,1.2,589.0
55,Acer Swift 3 Pro SF314-43-R8MY,2022.0,Windows,ryzen 7 5700u,8,16,1.8,4.3,7,8,15 W,radeon rx vega 8,0,,0,2000.0,0.0,8,0,4,512.0,SSD,14.0,1920,1080,1.2,631.0
56,Acer Swift 1 SF114-34-C1CG,2022.0,Windows,celeron n4500,2,2,1.1,2.8,10,4,6 W,uhd graphics,0,,0,300.0,0.0,4,0,4,128.0,SSD,14.0,1920,1080,1.3,
57,Acer Spin 5 SP514-51N-70LZ,2022.0,Windows,core i7-1260p,12,16,2.1,4.7,10,18,28 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,16,0,5,1024.0,SSD,14.0,2560,1600,1.3,1472.0
58,Acer Spin 3 SP313-51N-33KW,2022.0,Windows,core i3-1115g4,2,4,3.0,4.1,10,6,28 W,uhd graphics xe g4 48eus,0,,0,1450.0,0.0,8,0,4,256.0,SSD,13.3,1920,1080,1.4,
59,Acer Spin 1 SP114-31N-C0WX,2022.0,Windows,celeron n5100,4,4,1.1,2.8,10,4,6 W,uhd graphics,0,,0,300.0,0.0,4,0,4,128.0,SSD,14.0,1920,1080,1.5,
60,Acer Predator Triton 500SE PT516-52s-98LC,2022.0,Windows,core i9-12900h,14,20,2.5,5.0,10,24,45 W,geforce rtx 3080 ti mobile,16,GDDR6,256,810.0,2000.0,32,0,5,2048.0,SSD,16.0,2560,1600,2.4,4205.0
61,Acer Predator Triton 500 SE PT516-52s-73YD,2022.0,Windows,core i7-12700h,14,20,2.3,4.7,10,24,45 W,geforce rtx 3070 ti mobile,8,GDDR6,256,915.0,1750.0,16,0,4,1024.0,SSD,16.0,2560,1600,2.4,2418.0
62,Acer Predator Triton 500 PT516-51s-72LN,2022.0,Windows,core i7-11800h,8,16,1.9,4.6,10,24,35 W,geforce rtx 3080 mobile,8,GDDR6,256,1110.0,1750.0,16,0,4,1024.0,SSD,16.1,2560,1600,2.45,2733.0
63,Acer Predator Triton 300SE PT314-52s-99PC,2022.0,Windows,core i9-12900h,14,20,2.5,5.0,10,24,45 W,geforce rtx 3060 mobile,6,GDDR6,192,900.0,1750.0,16,0,4,1024.0,SSD,14.0,2880,1800,1.7,2313.0
64,Acer Predator Triton 300SE PT314-52s-770Q,2022.0,Windows,core i7-12700h,14,20,2.3,4.7,10,24,45 W,geforce rtx 3060 mobile,6,GDDR6,192,900.0,1750.0,16,0,4,512.0,SSD,14.0,2880,1800,1.7,2050.0
65,Acer Predator Triton 300 PT315-53-76B9,2022.0,Windows,core i7-11800h,8,16,1.9,4.6,10,24,35 W,geforce rtx 3080 max-q,8,GDDR6,256,780.0,1500.0,32,0,4,2048.0,SSD,15.6,2560,1440,2.1,
66,Acer Predator Triton 300 PT315-53-717C,2022.0,Windows,core i7-11800h,8,16,1.9,4.6,10,24,35 W,geforce rtx 3060 mobile,6,GDDR6,192,900.0,1750.0,16,0,4,1024.0,SSD,15.6,2560,1440,2.1,2102.0
67,Acer Predator Triton 300 PT315-53-54XN,2022.0,Windows,core i5-11400h,6,12,2.2,4.5,10,12,35 W,geforce rtx 3050 ti mobile,4,GDDR6,128,735.0,1500.0,8,0,4,512.0,SSD,15.6,1920,1080,2.1,
68,Acer Predator Helios 500 PH517-52-78TY,2022.0,Windows,core i7-11800h,8,16,1.9,4.6,10,24,35 W,geforce rtx 3080 mobile,8,GDDR6,256,1110.0,1750.0,32,0,4,1024.0,SSD,17.3,1920,1080,4.0,
69,Acer Predator Helios 300 PH317-56-718D,2022.0,Windows,core i7-12700h,14,20,2.3,4.7,10,24,45 W,geforce rtx 3070 ti mobile,8,GDDR6,256,915.0,1750.0,32,0,4,1024.0,SSD,17.3,2560,1440,3.0,2733.0
70,Acer Predator Helios 300 PH315-55-79FW,2022.0,Windows,core i7-12700h,14,20,2.3,4.7,10,24,45 W,geforce rtx 3070 ti mobile,8,GDDR6,256,915.0,1750.0,32,0,5,1024.0,SSD,15.6,2560,1440,2.6,2628.0
71,Acer Predator Helios 300 PH315-55-766X,2022.0,Windows,core i7-12700h,14,20,2.3,4.7,10,24,45 W,geforce rtx 3070 ti mobile,8,GDDR6,256,915.0,1750.0,16,0,5,1024.0,SSD,15.6,2560,1440,2.4,
72,Acer Predator Helios 300 PH315-55-745L,2022.0,Windows,core i7-12700h,14,20,2.3,4.7,10,24,45 W,geforce rtx 3060 mobile,6,GDDR6,192,900.0,1750.0,16,0,5,1024.0,SSD,15.6,1920,1080,2.6,1892.0
73,Acer Predator Helios 300 PH315-54-NH.QC1SN.003,2022.0,Windows,core i9-11900h,8,16,2.1,4.9,10,24,35 W,geforce rtx 3070 mobile,8,GDDR6,256,1110.0,1750.0,16,0,4,512.0,SSD,15.6,2560,1440,2.2,
74,Acer Predator Helios 300 PH315-54-94U7,2022.0,Windows,core i9-11900h,8,16,2.1,4.9,10,24,35 W,geforce rtx 3070 mobile,8,GDDR6,256,1110.0,1750.0,16,0,4,512.0,SSD,15.6,2560,1440,2.31,
75,Acer Predator Helios 300 PH315-54-582Q,2022.0,Windows,core i5-11400h,6,12,2.2,4.5,10,12,35 W,geforce rtx 3050 ti mobile,4,GDDR6,128,735.0,1500.0,16,0,4,1024.0,SSD,15.6,1920,1080,2.9,
76,Acer Predator Helios 300 PH315-54 NH.QC5EP.00A,2022.0,Windows,core i5-11400h,6,12,2.2,4.5,10,12,35 W,geforce rtx 3050 ti mobile,4,GDDR6,128,735.0,1500.0,16,0,4,1024.0,SSD,15.6,1920,1080,2.2,
77,Acer Predator Helios 300 PH315-53-785U,2022.0,Windows,core i7-10750h,6,12,2.6,5.0,14,12,45 W,geforce rtx 3070 mobile,8,GDDR6,256,1110.0,1750.0,16,0,4,512.0,SSD,15.6,1920,1080,2.3,
78,Acer Nitro 5 AN517-55-78NJ,2022.0,Windows,core i7-12700h,14,20,2.3,4.7,10,24,45 W,geforce rtx 3070 ti mobile,8,GDDR6,256,915.0,1750.0,16,0,4,1024.0,SSD,17.3,1920,1080,3.0,2050.0
79,Acer Nitro 5 AN517-54-79L1,2022.0,Windows,core i7-11800h,8,16,1.9,4.6,10,24,35 W,geforce rtx 3050 ti mobile,4,GDDR6,128,735.0,1500.0,16,0,4,1024.0,SSD,17.3,1920,1080,2.7,
80,Acer Nitro 5 AN517-54-706P,2022.0,Windows,core i7-11800h,8,16,1.9,4.6,10,24,35 W,geforce rtx 3050 mobile,4,GDDR6,128,712.0,1500.0,16,0,4,256.0,SSD,17.3,1920,1080,2.7,1261.0
81,Acer Nitro 5 AN517-41-R3NX,2022.0,Windows,ryzen 7 5800h,8,16,3.2,4.4,7,16,45 W,geforce rtx 3080 mobile,8,GDDR6,256,1110.0,1750.0,16,0,4,1024.0,SSD,15.6,1920,1080,2.7,
82,Acer Nitro 5 AN517-41-R37U,2022.0,Windows,ryzen 7 5800h,8,16,3.2,4.4,7,16,45 W,geforce rtx 3070 mobile,8,GDDR6,256,1110.0,1750.0,16,0,4,1024.0,SSD,17.3,1920,1080,2.7,1156.0
83,Acer Nitro 5 AN515-58-NH.QFKEK.001,2022.0,Windows,core i5-12500h,12,16,2.5,4.5,10,18,45 W,geforce rtx 3050 ti mobile,4,GDDR6,128,735.0,1500.0,16,0,4,512.0,SSD,15.6,1920,1080,2.5,
84,Acer Nitro 5 AN515-58-78QQ,2022.0,Windows,core i7-12700h,14,20,2.3,4.7,10,24,45 W,geforce rtx 3060 mobile,6,GDDR6,192,900.0,1750.0,16,0,1,512.0,SSD,15.6,1920,1080,2.5,
85,Acer Nitro 5 AN515-58-77YB,2022.0,Windows,core i7-12700h,14,20,2.3,4.7,10,24,45 W,geforce rtx 3050 ti mobile,4,GDDR6,128,735.0,1500.0,16,0,4,1024.0,SSD,15.6,1920,1080,2.5,2102.0
86,Acer Nitro 5 AN515-58-74JS,2022.0,Windows,core i7-12700h,14,20,2.3,4.7,10,24,45 W,geforce rtx 3060 mobile,6,GDDR6,192,900.0,1750.0,16,0,4,512.0,SSD,15.6,1920,1080,2.5,1419.0
87,Acer Nitro 5 AN515-58-72MJ,2022.0,Windows,core i7-12700h,14,20,2.3,4.7,10,24,45 W,geforce rtx 3060 mobile,6,GDDR6,192,900.0,1750.0,16,0,4,512.0,SSD,15.6,1920,1080,2.5,
88,Acer Nitro 5 AN515-58-71MH,2022.0,Windows,core i7-12700h,14,20,2.3,4.7,10,24,45 W,geforce rtx 3060 mobile,6,GDDR6,192,900.0,1750.0,16,0,4,512.0,SSD,15.6,1920,1080,2.5,1577.0
89,Acer Nitro 5 AN515-58-58BN,2022.0,Windows,core i5-12500h,12,16,2.5,4.5,10,18,45 W,geforce rtx 3050 mobile,4,GDDR6,128,712.0,1500.0,16,0,4,512.0,SSD,15.6,1920,1080,2.5,1261.0
90,Acer Nitro 5 AN515-58-527S,2022.0,Windows,core i5-12500h,12,16,2.5,4.5,10,18,45 W,geforce rtx 3060 mobile,6,GDDR6,192,900.0,1750.0,16,0,4,512.0,SSD,15.6,1920,1080,2.5,1419.0
91,"Acer Nitro 5 AN515-58, R7 6800H RTX 3060",2022.0,Windows,ryzen 7 6800h,8,16,3.2,4.7,6,16,45 W,geforce rtx 3060 mobile,6,GDDR6,192,900.0,1750.0,16,0,5,512.0,SSD,15.6,2560,1440,2.0,
92,Acer Nitro 5 AN515-57-77QK,2022.0,Windows,core i7-11800h,8,16,1.9,4.6,10,24,35 W,geforce rtx 3050 mobile,4,GDDR6,128,712.0,1500.0,16,0,4,512.0,SSD,15.6,1920,1080,2.3,
93,Acer Nitro 5 AN515-57-742V,2022.0,Windows,core i7-11800h,8,16,1.9,4.6,10,24,35 W,geforce rtx 3060 mobile,6,GDDR6,192,900.0,1750.0,16,0,4,512.0,SSD,15.6,1920,1080,2.2,1682.0
94,Acer Nitro 5 AN515-56-51V8,2022.0,Windows,core i5-11300h,4,8,4.4,,10,8,32 W,geforce gtx 1650 mobile,4,GDDR5,128,1395.0,2001.0,8,0,4,512.0,SSD,15.6,1920,1080,2.3,
95,Acer Nitro 5 AN515-55-5560,2022.0,Windows,core i5-10300h,4,8,2.5,4.5,14,6,45 W,geforce rtx 3060 mobile,6,GDDR6,192,900.0,1750.0,8,0,4,512.0,SSD,15.6,1920,1080,2.3,
96,Acer Nitro 5 AN515-46-R606,2022.0,Windows,ryzen 7 6800h,8,16,3.2,4.7,6,16,45 W,geforce rtx 3070 ti mobile,8,GDDR6,256,915.0,1750.0,32,0,5,1024.0,SSD,15.6,1920,1080,2.5,1892.0
97,Acer Nitro 5 AN515-45-NH.QCLSI.001,2022.0,Windows,ryzen 5 5600h,6,12,3.3,4.2,7,16,45 W,geforce rtx 3050 mobile,4,GDDR6,128,712.0,1500.0,8,0,4,256.0,SSD,15.6,1920,1080,2.3,
98,Acer Enduro Urban N3 EUN314-51WG-74PB,2022.0,Windows,core i7-1165g7,4,8,2.8,4.7,10,12,28 W,geforce mx330,2,GDDR5,64,1531.0,1752.0,16,0,4,1024.0,SSD,14.0,1920,1080,1.85,
99,Acer Enduro Urban N3 EUN314-51W-70RF,2022.0,Windows,core i7-1165g7,4,8,2.8,4.7,10,12,28 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,16,0,4,1024.0,SSD,14.0,1920,1080,1.86,1051.0
100,Acer Enduro Urban N3 EUN314-51W-38DT,2022.0,Windows,core i3-1115g4,2,4,3.0,4.1,10,6,28 W,uhd graphics xe g4 48eus,0,,0,1450.0,0.0,8,0,4,512.0,SSD,14.0,1920,1080,1.86,
101,Acer Enduro Urban N3 EUN314-51W-32N2,2022.0,Windows,core i3-1115g4,2,4,3.0,4.1,10,6,28 W,uhd graphics xe g4 48eus,0,,0,1450.0,0.0,8,0,4,256.0,SSD,14.0,1920,1080,1.86,
102,Acer ConceptD 7 Ezel Pro CC715-72G-71H9,2022.0,Windows,core i7-11800h,8,16,1.9,4.6,10,24,35 W,geforce rtx 3080 mobile,8,GDDR6,256,1110.0,1750.0,32,0,4,1024.0,SSD,16.0,3840,2160,2.5,3784.0
103,Acer ConceptD 3 Ezel Pro CC315-73P-73QS,2022.0,Windows,core i7-11800h,8,16,1.9,4.6,10,24,35 W,t1200 mobile,4,GDDR6,128,855.0,1250.0,16,0,4,512.0,SSD,15.6,1920,1080,2.2,2207.0
104,Acer Aspire Vero AV15-52-772X,2022.0,Windows,core i7-1255u,10,12,1.7,4.7,10,12,15 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,16,0,4,1024.0,SSD,15.6,1920,1080,1.76,
105,Acer Aspire Vero AV15-51-78SB,2022.0,Windows,core i7-1195g7,4,8,2.9,5.0,10,12,28 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,16,0,4,512.0,SSD,15.6,1920,1080,1.8,
106,Acer Aspire Vero AV15-51-76PV,2022.0,Windows,core i7-1195g7,4,8,2.9,5.0,10,12,28 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,16,0,4,1024.0,SSD,15.6,1920,1080,1.8,
107,Acer Aspire Vero AV15-51-7555,2022.0,Windows,core i7-1195g7,4,8,2.9,5.0,10,12,28 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,16,0,4,512.0,SSD,15.6,1920,1080,1.8,1051.0
108,Acer Aspire Vero AV15-51-58JC,2022.0,Windows,core i5-1155g7,4,8,2.5,4.5,10,8,28 W,iris xe graphics g7 80eus,0,,0,300.0,0.0,16,0,4,512.0,SSD,15.6,1920,1080,1.8,
109,Acer Aspire Vero AV15-52-712Q,2022.0,Windows,core i7-1255u,10,12,1.7,4.7,10,12,15 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,16,0,4,1024.0,SSD,15.6,1920,1080,1.76,946.0
