Laptop_name,Year,CPU,GPU,Memory,Storage,Display,Weight(kg),Price
HP Spectre x360 13t-ae000,2018,Intel Core i7-8550U,Intel UHD Graphics 620,"16 GB  ,, LPDDR3-2133 (dual-channel, soldered)","Lite-On CA1-8D256-HP, 256 GB  ","13.30 inch 16:9, 3840 x 2160 pixel 331 PPI, 10-point multi-touch, native pen support, LGD0588, IPS, glossy: yes","1.25 kg ( = 44.09 oz / 2.76 pounds), Power Supply: 336 g ( = 11.85 oz / 0.74 pounds)",
HP Spectre x2 12-a001na,2018,Intel Core m3-6Y30,Intel HD Graphics 515,"4 GB  ,, DDR3L SDRAM (onboard)","256 GB NVMe, 256 GB  ","12.10 inch 3:2, 1920 x 1280 pixel 191 PPI, Capacitive, native pen support, IPS, glossy: yes, detachable screen",1.19 kg ( = 41.98 oz / 2.62 pounds) ( = 0 oz / 0 pounds),
HP Pavilion 14-bf003ng,2018,Intel Core i3-7100U,Intel HD Graphics 620,"8 GB  ,, DDR4","256 GB NVMe, 256 GB  ","14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, IPS, glossy: yes",1.63 kg ( = 57.5 oz / 3.59 pounds) ( = 0 oz / 0 pounds),700 Euro
HP Elitebook 1040 G4-2XU40UT,2018,Intel Core i7-7820HQ,Intel HD Graphics 630,"15.9 GB  ,, DDR4-2400 @ 1197.1 MHz, Dual-channel (2x8 GB), 17-17-17-39","Toshiba XG4 NVMe (THNSN5512GPUK), 512 GB  ","14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, 10-point multitouch, Chi Mei CMN14D7, IPS, glossy: yes","1.519 kg ( = 53.58 oz / 3.35 pounds), Power Supply: 433 g ( = 15.27 oz / 0.95 pounds)",2400 USD
HP Envy 15-bp000nb x360,2018,Intel Core i5-7200U,Intel HD Graphics 620,12 GB  , 256 GB SSD,"15.60 inch 16:9, 3840 x 2160 pixel 282 PPI, glossy: yes",2.06 kg ( = 72.66 oz / 4.54 pounds) ( = 0 oz / 0 pounds),
HP Omen 15-ce085tx,2018,Intel Core i7-7700HQ,NVIDIA GeForce GTX 1050 Mobile,8 GB  , 1 TB HDD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, IPS, glossy: no",2.6 kg ( = 91.71 oz / 5.73 pounds) ( = 0 oz / 0 pounds),
HP Pavilion Power 15-cb012ns,2018,Intel Core i7-7700HQ,NVIDIA GeForce GTX 1050 Mobile,8 GB  , 1 TB HDD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, FHD, glossy: no",2.21 kg ( = 77.96 oz / 4.87 pounds) ( = 0 oz / 0 pounds),
HP 255 G6,2018,AMD A6-9220,AMD Radeon R4 (Stoney Ridge),"8 GB  ,, Single-Channel",", 1000 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, Chi Mei CMN15E3, TN LED, glossy: no","2.05 kg ( = 72.31 oz / 4.52 pounds), Power Supply: 290 g ( = 10.23 oz / 0.64 pounds)",400 Euro
HP Spectre 13-af030nd,2018,Intel Core i7-8550U,Intel UHD Graphics 620,16 GB  , 1 TB SSD,"13.30 inch 16:9, 1920 x 1080 pixel 166 PPI, glossy: yes",1.11 kg ( = 39.15 oz / 2.45 pounds) ( = 0 oz / 0 pounds),
HP OMEN 15-ce002ns,2018,Intel Core i7-7700HQ,NVIDIA GeForce GTX 1060 Mobile,16 GB  , 256 GB SSD + 1 TB HDD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, glossy: no",2.62 kg ( = 92.42 oz / 5.78 pounds) ( = 0 oz / 0 pounds),
HP Elitebook 1040 G4-2XU40UT,2018,Intel Core i7-7820HQ,Intel HD Graphics 630,"15.9 GB  ,, DDR4-2400 @ 1197.1 MHz, Dual-channel (2x8 GB), 17-17-17-39","Toshiba XG4 NVMe (THNSN5512GPUK), 512 GB  ","14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, 10-point multitouch, Chi Mei CMN14D7, IPS, glossy: yes","1.519 kg ( = 53.58 oz / 3.35 pounds), Power Supply: 433 g ( = 15.27 oz / 0.95 pounds)",2400 USD
HP 15-bs573tu,2018,Intel Core i5-7200U,Intel HD Graphics 620,"4 GB  ,, DDR3L-2133", 1 TB 5400 rpm SATA,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, LED, glossy: no",2.1 kg ( = 74.08 oz / 4.63 pounds) ( = 0 oz / 0 pounds),550 Euro
HP Omen 15-CE086TX,2018,Intel Core i7-7700HQ,NVIDIA GeForce GTX 1050 Ti Mobile,16 GB  , 1 TB HDD + 256 GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, IPS, glossy: no",2.6 kg ( = 91.71 oz / 5.73 pounds) ( = 0 oz / 0 pounds),
HP Pavilion 14-bf106ns,2018,Intel Core i5-8250U,NVIDIA GeForce 940MX,8 GB  , 1 TB HDD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, IPS, glossy: yes",1.63 kg ( = 57.5 oz / 3.59 pounds) ( = 0 oz / 0 pounds),
