Laptop_name,Year,CPU,GPU,Memory,Storage,Display,Weight(kg),Price
Dell Latitude 2100,2009,Intel Atom N270,Intel Graphics Media Accelerator (GMA) 950,1024 MB  ,"16 GB SSD, 16 GB  ","10.10 inch 10:6, 1024 x 576 pixel, Touch screen (optional), glossy: no","1.36 kg ( = 47.97 oz / 3 pounds), Power Supply: 365 g ( = 12.88 oz / 0.8 pounds)",436 Euro
Dell Latitude 2100,2009,Intel Atom N270,Intel Graphics Media Accelerator (GMA) 950,"1024 MB  ,, DDR2-533, 2 slots, max. 2GB",", 160 GB  ","10.10 inch 16:10, 1024 x 576 pixel, CPT0457 touch screen, semi-matt, glossy: no","1.58 kg ( = 55.73 oz / 3.48 pounds), Power Supply: 410 g ( = 14.46 oz / 0.9 pounds)",500 Euro
Dell Studio 1555,2009,Intel Core 2 Duo P8600,ATI Mobility Radeon HD 4570,"4 GB  ,, DDR2 PC2-6400, 2x2048MB, max. 4GB","WDC Scorpio Blue WD3200BEVT, 320 GB  ","15.60 inch 16:9, 1366 x 768 pixel, LED HD Display, glossy: yes","2.66 kg ( = 93.83 oz / 5.86 pounds), Power Supply: 420 g ( = 14.82 oz / 0.93 pounds)",1050 Euro
Dell Inspiron 13z,2009,Intel Core 2 Duo SU7300,NVIDIA GeForce G 105M,"4 GB  ,, DDR3-1066, 2x2GB in 2 slots, max. 8GB","WDC Scorpio Black WD3200BEKT-75F3T, 320 GB  ","13.30 inch 16:9, 1366 x 768 pixel, AUO102C WLED, glossy: yes","2.01 kg ( = 70.9 oz / 4.43 pounds), Power Supply: 390 g ( = 13.76 oz / 0.86 pounds)",
Dell Studio XPS 164670),2009,Intel Core 2 Duo P9700,ATI Mobility Radeon HD 4670,"4 GB  ,, DDR3 PC3-8500F, 2x2048MB, max 8GB","Seagate Momentus 7200.4 ST9500420ASG, 500 GB  ","16.00 inch 19:9, 1920 x 1080 pixel, Truelife 1080p Full HD RGBLED-Display, glossy: yes","3.26 kg ( = 114.99 oz / 7.19 pounds), Power Supply: 470 g ( = 16.58 oz / 1.04 pounds)",1650 Euro
"Dell Vostro 1520Core 2 Duo T6570, GMA 4500MHD, 3GB RAM)",2009,Intel Core 2 Duo T6570,Intel Graphics Media Accelerator (GMA) 4500MHD,"3 GB  ,, PC2-6400 (DDR2)",", 160 GB  ","15.40 inch 16:10, 1440 x 900 pixel, SEC5442, glossy: no","2.55 kg ( = 89.95 oz / 5.62 pounds), Power Supply: 350 g ( = 12.35 oz / 0.77 pounds)",500 Euro
Dell Inspiron 1750,2009,Intel Pentium Dual Core T4200,Intel Graphics Media Accelerator (GMA) 4500MHD,"4 GB  ,, DDR2 - PC26400, 2x2048MB, max. 8GB",,"17.30 inch 16:9, 1600 x 900 pixel, WLED HD TrueLife, glossy: yes","3.08 kg ( = 108.64 oz / 6.79 pounds), Power Supply: 370 g ( = 13.05 oz / 0.82 pounds)",600 Euro
Dell Latitude 2100,2009,Intel Atom N270,Intel Graphics Media Accelerator (GMA) 950,1024 MB  ,"16 GB SSD, 16 GB  ","10.10 inch 10:6, 1024 x 576 pixel, Touch screen (optional), glossy: no","1.36 kg ( = 47.97 oz / 3 pounds), Power Supply: 365 g ( = 12.88 oz / 0.8 pounds)",436 Euro
Dell Latitude E6400 XFR,2009,Intel Core 2 Duo P9600,NVIDIA Quadro NVS 160M,"4 GB  ,, DDR2-800 6-6-6-18","Samsung RBX Series 6, 64 GB  ","14.10 inch 16:10, 1280 x 800 pixel, wide-aspect transmissive DirectVue, glossy: no",3.87 kg ( = 136.51 oz / 8.53 pounds) ( = 0 oz / 0 pounds),4160 Euro
Dell Inspiron Mini 10 PP19S,2009,Intel Atom Z530,Intel Graphics Media Accelerator (GMA) 500,"1024 MB  ,, DDR2 SDRAM",", 250 GB  ","10.10 inch 16:9, 1366 x 768 pixel, HD-WLED, glossy: yes","1.29 kg ( = 45.5 oz / 2.84 pounds), Power Supply: 200 g ( = 7.05 oz / 0.44 pounds)",555 Euro
Dell Studio 1555,2009,Intel Core 2 Duo P8600,ATI Mobility Radeon HD 4570,"4 GB  ,, DDR2 PC2-6400, 2x2048MB, max. 4GB","WDC Scorpio Blue WD3200BEVT, 320 GB  ","15.60 inch 16:9, 1366 x 768 pixel, LED HD Display, glossy: yes","2.66 kg ( = 93.83 oz / 5.86 pounds), Power Supply: 420 g ( = 14.82 oz / 0.93 pounds)",1050 Euro
Dell Adamo,2009,Intel Core 2 Duo SU9400,Intel Graphics Media Accelerator (GMA) 4500MHD,"4 GB  ,, DDR3 PC3-8500 1066Mhz, 2x2048MB, max. 8GB","Samsung SSD Thin, 128 GB  ","13.40 inch 16:9, 1366 x 768 pixel, Panel SEC5441, brightness sensor, glossy: yes","1.84 kg ( = 64.9 oz / 4.06 pounds), Power Supply: 260 g ( = 9.17 oz / 0.57 pounds)",2599 Euro
Dell XPS M1730,2009,Intel Core 2 Duo T7700,NVIDIA GeForce 8700M GT SLI,,,"17.10 inch 16:10, 1920 x 1200 pixel, glossy: yes","5.1 kg ( = 179.9 oz / 11.24 pounds), Power Supply: 0 g ( = 0 oz / 0 pounds)",2500 Euro
